"pos","name","date","time","map"
"1","kallu","23/12/20","3.562","ajm"
"1","Goblin","15/09/17","7.512","ajumpb"
"1","Killa","07/02/19","23.617","akumamap1"
"1","Lofas","27/05/14","19.291","akumamap2a"
"1","dMnAiOuSDnUaSd","09/11/20","20.073","akumamap3"
"1","KroPP","18/05/14","17.683","akumanoob1"
"1","mazze","20/07/21","15.927","akumanoob2a"
"1","Goblin","23/01/19","9.882","akumanoob3b"
"1","dMnAiOuSDnUaSd","01/06/21","14.977","akumanoob4"
"1","Killa","04/09/18","9.180","aljump1"
"1","KroPP","15/11/14","34.432","aljump10"
"1","mule_0wnz","09/02/16","15.535","aljump11"
"1","mazze","26/08/21","34.799","aljump12"
"1","Caboom","19/10/21","19.201","aljump14"
"1","Goblin","17/05/19","26.296","aljump15"
"1","mazze","01/08/21","21.768","aljump16"
"1","dMnAiOuSDnUaSd","16/06/21","14.633","aljump17"
"1","dMnAiOuSDnUaSd","17/06/21","12.300","aljump18"
"1","Killa","06/02/19","4.846","aljump19"
"1","Killa","25/01/19","14.394","aljump2"
"1","n00k!e","22/09/17","9.073","aljump20"
"1","Goblin","11/10/18","3.168","aljump21"
"1","prd","04/07/15","2.411","aljump22"
"1","prd","17/01/19","15.417","aljump23"
"1","mazze","12/01/21","9.633","aljump24"
"1","APKIS","26/06/15","13.504","aljump25"
"1","Goblin","02/09/20","6.100","aljump26"
"1","Killa","16/02/19","8.806","aljump27"
"1","OpkeZ","22/01/18","18.917","aljump28"
"1","prd","12/10/18","14.897","aljump29"
"1","Goblin","15/06/20","18.666","aljump3"
"1","dMnAiOuSDnUaSd","17/12/20","25.366","aljump30"
"1","Killa","14/03/18","12.644","aljump32"
"1","Killa","24/02/21","3.175","aljump4"
"1","Lofas","16/07/14","6.711","aljump5"
"1","Goblin","23/02/16","17.075","aljump7"
"1","dMnAiOuSDnUaSd","01/07/20","13.292","aljump8"
"1","neoxotb","25/02/19","48.325","aljumpjj"
"1","Goblin","27/12/17","29.551","aljumpjjstrafe"
"1","Killa","02/01/19","3.279","aljumpnewb"
"1","mazze","16/02/21","10.267","aljumpnoob3"
"1","Caboom","06/12/20","14.600","alrocket1"
"1","KroPP","21/09/13","25.803","alt1"
"1","KroPP","30/05/14","101.146","alt10b"
"1","mazze","15/12/20","101.607","alt11"
"1","Nykzi","28/04/21","60.740","alt12"
"1","APKIS","25/10/15","40.379","alt13"
"1","mazze","03/01/21","31.782","alt14"
"1","Killa","16/09/19","63.955","alt15a"
"1","Caboom","06/06/20","72.985","alt16"
"1","Caboom","26/11/20","112.730","alt17"
"1","n00k!e","09/03/14","196.905","alt18"
"1","Goblin","19/09/18","32.655","alt19"
"1","Killa","20/08/21","12.047","alt19_5"
"1","Killa","20/01/18","14.455","alt2"
"1","draxi","02/12/20","59.231","alt20"
"1","n00k!e","14/12/15","26.806","alt3"
"1","Killa","07/02/18","13.401","alt4"
"1","Goblin","03/03/18","29.800","alt5"
"1","n00k!e","30/09/17","55.550","alt6"
"1","n00k!e","04/02/14","20.870","alt7"
"1","Killa","10/03/18","24.755","alt8"
"1","KroPP","22/07/13","25.680","alt9"
"1","KroPP","02/11/14","16.741","amazing"
"1","mazze","16/06/20","16.671","ancientgouki"
"1","ds.ads","29/01/14","33.347","ancientgouki2"
"1","mazze","30/10/21","13.500","ancientgouki3"
"1","Caboom","29/09/21","32.223","ancientgouki4"
"1","Killa","17/02/19","24.526","ancientgouki5"
"1","Nykzi","29/03/21","16.264","ancientgouki5b"
"1","prd","25/11/16","27.448","ancientgouki6"
"1","mazze","06/06/20","17.735","ancientgouki7"
"1","Caboom","06/06/20","92.466","ancientgouki8"
"1","Caboom","09/04/20","207.160","ancientgoukimax"
"1","nl-dex","10/02/20","24.004","anime1"
"1","Killa","18/12/18","9.162","anime10"
"1","Killa","27/01/21","15.166","anime11"
"1","dMnAiOuSDnUaSd","31/05/21","15.867","anime12"
"1","Killa","24/01/21","18.290","anime13"
"1","Killa","30/01/18","21.362","anime14"
"1","KroPP","31/05/14","114.844","anime15"
"1","mazze","04/10/21","30.592","anime16"
"1","Killa","12/02/20","20.343","anime2"
"1","yogurt","30/05/20","26.601","anime3"
"1","mazze","22/09/21","51.914","anime4"
"1","mazze","08/09/21","42.124","anime5"
"1","Killa","29/01/18","19.172","anime6"
"1","ds.ads","10/11/15","21.934","anime7"
"1","Killa","30/01/18","20.125","anime8"
"1","ziomek","11/10/20","35.724","anime9"
"1","Goblin","18/07/20","18.328","aodjump1"
"1","dMnAiOuSDnUaSd","05/12/20","10.347","aodjump2"
"1","n00k!e","17/05/13","16.994","apkisjump1"
"1","Killa","06/12/18","25.162","apkisjump2"
"1","prd","27/09/18","53.004","apkisjump3"
"1","dMnAiOuSDnUaSd","11/06/21","24.502","apkisjump5"
"1","KroPP","02/12/14","77.576","apocalypse"
"1","n00k!e","20/04/14","31.738","apocalypse10"
"1","dMnAiOuSDnUaSd","18/06/21","94.180","apocalypse11"
"1","dMnAiOuSDnUaSd","30/05/21","5.932","apocalypse12"
"1","APKIS","10/08/21","35.972","apocalypse13"
"1","APKIS","18/05/18","23.688","apocalypse14"
"1","OpkeZ","11/07/20","13.425","apocalypse15"
"1","KroPP","15/10/13","61.361","apocalypse16"
"1","Nykzi","04/02/21","84.883","apocalypse17"
"1","prd","06/08/18","39.434","apocalypse18"
"1","Killa","14/09/12","41.387","apocalypse19"
"1","KroPP","22/06/14","47.457","apocalypse20"
"1","dMnAiOuSDnUaSd","18/01/21","47.701","apocalypse21"
"1","Killa","02/06/19","15.013","apocalypse22"
"1","dMnAiOuSDnUaSd","03/01/21","58.767","apocalypse23"
"1","KroPP","02/12/14","106.695","apocalypse24"
"1","mazze","30/01/21","247.477","apocalypse25"
"1","APKIS","26/05/20","77.334","apocalypse26"
"1","mazze","16/07/21","205.459","apocalypse27"
"1","dMnAiOuSDnUaSd","04/07/21","10.520","apocalypse28"
"1","Killa","02/02/21","14.983","apocalypse28a"
"1","KroPP","04/12/14","92.697","apocalypse29"
"1","mazze","03/04/21","22.902","apocalypse2b"
"1","Goblin","12/07/19","23.840","apocalypse3"
"1","OpkeZ","05/04/18","398.169","apocalypse30"
"1","Killa","16/04/19","17.082","apocalypse31"
"1","yogurt","17/08/20","34.357","apocalypse32"
"1","APKIS","12/11/18","24.317","apocalypse33"
"1","santher","04/08/12","44.976","apocalypse34"
"1","mazze","03/01/21","8.667","apocalypse35"
"1","Goblin","09/08/19","32.375","apocalypse36"
"1","Lofas","06/12/15","99.221","apocalypse37"
"1","OpkeZ","17/01/20","64.724","apocalypse38"
"1","mazze","02/07/21","28.866","apocalypse39"
"1","Goblin","31/07/20","67.068","apocalypse4"
"1","KroPP","25/06/14","79.437","apocalypse40"
"1","mazze","12/09/21","98.322","apocalypse41"
"1","OpkeZ","30/12/20","72.703","apocalypse42"
"1","Goblin","08/08/18","9.982","apocalypse43"
"1","KroPP","29/11/14","44.799","apocalypse44"
"1","Direktor","14/07/21","9.554","apocalypse45"
"1","APKIS","28/03/20","170.246","apocalypse46"
"1","mazze","31/08/21","14.651","apocalypse47"
"1","Direktor","08/05/21","35.982","apocalypse48"
"1","Lofas","07/07/15","63.821","apocalypse49"
"1","mazze","24/09/21","57.599","apocalypse5"
"1","APKIS","26/09/17","32.821","apocalypse50"
"1","OpkeZ","12/07/19","36.965","apocalypse51"
"1","Goblin","25/01/20","23.368","apocalypse52"
"1","OpkeZ","12/07/19","44.641","apocalypse53"
"1","mazze","30/12/20","128.660","apocalypse54"
"1","mazze","01/02/21","36.533","apocalypse55"
"1","Killa","24/02/18","23.613","apocalypse56"
"1","ziomek","26/09/19","18.693","apocalypse57"
"1","n00k!e","18/05/14","26.513","apocalypse58"
"1","dMnAiOuSDnUaSd","09/07/21","242.301","apocalypse59"
"1","Goblin","11/08/18","15.847","apocalypse6"
"1","APKIS","30/11/20","519.868","apocalypse60"
"1","Goblin","17/03/18","13.740","apocalypse62"
"1","Mehis","13/02/21","19.731","apocalypse63"
"1","mazze","29/06/21","56.861","apocalypse7"
"1","OpkeZ","16/12/19","150.171","apocalypse8"
"1","KroPP","11/07/14","22.589","apocalypse9"
"1","Goblin","29/05/20","13.638","arenacross1"
"1","Killa","08/02/19","30.798","ariejump1"
"1","KroPP","01/06/13","43.062","ariejump10"
"1","KroPP","01/06/13","26.022","ariejump11"
"1","Direktor","30/11/19","26.244","ariejump12"
"1","Killa","05/04/18","6.905","ariejump13"
"1","KroPP","29/06/13","35.998","ariejump14"
"1","Killa","15/02/20","24.552","ariejump15"
"1","Killa","17/08/19","14.304","ariejump16"
"1","Killa","09/01/19","14.198","ariejump17"
"1","APKIS","16/06/15","17.666","ariejump18"
"1","Goblin","01/02/20","14.472","ariejump19"
"1","KroPP","22/05/13","17.732","ariejump2"
"1","mazze","12/09/21","3.230","ariejump20"
"1","Killa","22/03/19","9.344","ariejump21"
"1","KroPP","31/05/14","10.148","ariejump22"
"1","KroPP","15/10/13","54.543","ariejump23"
"1","Lofas","28/09/15","4.655","ariejump24"
"1","ds.ads","25/01/14","9.476","ariejump25"
"1","KroPP","15/10/13","18.846","ariejump26"
"1","Killa","12/05/18","26.578","ariejump27"
"1","KroPP","30/12/15","7.069","ariejump28"
"1","mazze","23/11/20","22.966","ariejump29"
"1","KroPP","14/10/13","14.888","ariejump3"
"1","KroPP","29/03/14","25.973","ariejump30"
"1","Goblin","27/10/17","53.555","ariejump31"
"1","APKIS","19/05/20","30.910","ariejump32"
"1","KroPP","07/05/14","65.356","ariejump33"
"1","KroPP","19/10/13","26.923","ariejump34"
