"pos","name","date","time","map"
"1","prd","11/11/16","104.703","0wnt"
"1","prd","08/08/16","34.238","0wnz"
"1","n00k!e","15/04/14","39.171","0wnz3"
"1","Killa","26/07/19","25.353","132tree"
"1","Killa","27/07/19","67.555","1337"
"1","prd","31/10/17","52.736","1_race_r3"
"1","KroPP","16/05/14","27.047","1_splj_r3"
"1","Goblin","15/04/17","19.610","1jumpmap"
"1","Killa","19/08/18","7.872","2_race_r3"
"1","Goblin","02/11/19","27.466","2towers"
"1","Killa","12/10/18","65.569","3013"
"1","Killa","03/01/19","17.183","4c3jump1"
"1","Killa","06/02/19","10.417","4c3jump2"
"1","Killa","16/08/19","14.275","4c3jump3"
"1","Goblin","04/07/19","12.680","4c3jump4"
"1","Goblin","27/10/18","5.731","4mybros"
"1","KroPP","13/05/14","29.069","4race1"
"1","prd","15/01/19","33.198","4race2"
"1","Goblin","31/10/19","18.610","4race3"
"1","n00k!e","28/05/14","50.814","4race4"
"1","n00k!e","25/05/14","40.650","4race5"
"1","KroPP","25/05/14","56.740","4race6"
"1","Goblin","10/09/17","45.378","4race7"
"1","Killa","07/09/19","37.002","4race8"
"1","n00k!e","16/11/14","31.179","4race9"
"1","Lofas","02/12/14","10.361","5secmap"
"1","Killa","17/03/18","33.508","9000"
"1","Goblin","09/10/17","61.614","9000_2"
"1","Lofas","19/02/13","25.988","_fmj_a"
"1","KroPP","08/03/14","32.055","_jumplava"
"1","Goblin","10/05/18","15.825","_madjumping10"
"1","n00k!e","23/04/18","32.862","a2-01"
"1","prd","21/09/17","27.597","a2-02-moonrace_1"
"1","Goblin","14/07/19","14.026","a2-03"
"1","n00k!e","12/11/15","23.573","a2-04"
"1","Goblin","14/07/19","11.462","a2-05"
"1","Killa","20/04/18","32.112","a2-06"
"1","Caboom","06/04/18","66.102","ac1_jump1"
"1","OpkeZ","20/01/18","49.720","ac1_jump2"
"1","prd","31/01/16","10.576","ac1_jump3"
"1","prd","31/01/16","15.113","ac1_jump4"
"1","Goblin","03/03/18","10.694","ac1_jump5"
"1","ace","25/08/17","5.586","ac1_race1"
"1","Goblin","21/10/17","28.285","acejumps01"
"1","Killa","21/02/19","11.407","acejumps02"
"1","KroPP","16/01/15","99.733","acejumps03"
"1","Killa","27/07/18","11.793","acejumps04"
"1","Goblin","07/11/19","19.800","acejumps05"
"1","ace","18/10/15","32.181","acejumps06"
"1","n00k!e","01/11/15","71.898","acejumps07"
"1","Killa","22/02/19","12.076","acejumps08"
"1","Killa","30/04/15","17.010","acejumps09"
"1","Killa","09/03/18","22.392","acejumps10"
"1","prd","23/12/18","173.213","acejumps11"
"1","Goblin","18/03/18","29.439","acejumps12a"
"1","prd","08/08/16","22.913","acejumps13"
"1","Lofas","24/06/15","12.355","acejumps15"
"1","prd","07/11/15","39.601","acejumps16"
"1","Killa","14/10/18","9.522","action"
"1","Killa","14/10/18","8.381","action_big"
"1","n00k!e","28/09/17","21.647","adminjumps"
"1","Lofas","18/04/15","21.980","admintryouts"
"1","Goblin","20/09/17","17.223","adrace1"
"1","KroPP","26/06/14","18.519","adrenjump2"
"1","prd","22/04/18","51.743","adrenjumps1"
"1","n00k!e","18/10/15","23.064","adrenjumps10"
"1","prd","10/03/18","38.253","adrenjumps11"
"1","Killa","25/09/12","48.533","adrenjumps12"
"1","Lofas","22/08/15","26.757","adrenjumps13"
"1","Killa","02/08/18","23.258","adrenjumps14"
"1","Goblin","09/03/18","36.473","adrenjumps15a"
"1","KroPP","07/10/12","72.557","adrenjumps16"
"1","Goblin","23/08/18","42.849","adrenjumps17"
"1","Goblin","26/12/17","33.043","adrenjumps18_fixed"
"1","Killa","23/08/18","28.803","adrenjumps19"
"1","Goblin","17/03/18","24.494","adrenjumps20"
"1","KroPP","14/09/15","25.640","adrenjumps21"
"1","Killa","17/11/19","25.666","adrenjumps22"
"1","APKIS","08/05/15","36.874","adrenjumps23"
"1","Killa","06/08/18","22.754","adrenjumps24"
"1","Lofas","18/11/15","15.335","adrenjumps25"
"1","Killa","08/03/19","26.458","adrenjumps26"
"1","Killa","16/05/19","26.256","adrenjumps27"
"1","Goblin","16/12/19","12.730","adrenjumps28"
"1","prd","13/11/15","13.762","adrenjumps29"
"1","Goblin","10/04/18","28.495","adrenjumps3"
"1","Killa","17/07/18","5.133","adrenjumps30"
"1","Killa","16/12/19","21.561","adrenjumps31"
"1","Killa","24/12/18","26.089","adrenjumps32"
