"","id","comps","comp_score","1st","2nd","3rd","4th","5th","score","name"
"705",704,5,0,0,0,0,0,0,0,"8578"
"871",870,1,0,0,0,0,0,0,0,"8942"
"953",952,1,0,0,0,0,0,0,0,"9089"
"962",961,2,0,0,0,0,0,0,0,"9816"
"884",883,6,0,0,0,0,0,0,0,"a"
"466",465,1,0,0,0,0,0,0,0,"A.Hitler"
"744",743,741,0,6,11,24,29,38,4090,"a2ha"
"246",245,4,0,0,0,0,0,0,4,"AA"
"967",966,1,0,0,0,0,0,0,0,"aaaaaaadfghsdth"
"201",200,0,0,0,0,0,0,0,0,"abc"
"791",790,2,0,0,0,0,0,0,0,"AbuseAdmin"
"519",518,1,0,0,0,1,0,0,16,"Accelerator"
"631",630,1370,0,66,126,183,189,191,16258,"ace"
"1090",1089,1,0,0,0,0,0,0,0,"ace_backwards"
"853",852,1,0,0,0,0,0,0,0,"AceLOLSCLOL"
"159",158,0,0,0,0,0,0,0,0,"Acharliel"
"641",640,2,0,0,0,0,0,0,0,"aDi^^"
"421",420,5,0,0,0,0,0,0,14,"ADMIRAL"
"494",493,42,0,0,0,0,0,0,27,"adr1x"
"343",342,213,0,0,0,0,0,0,28,"adren"
"597",596,2,0,0,0,0,0,0,0,"aetminiplayer"
"897",896,8,0,0,0,1,0,0,36,"afit"
"582",581,1,0,0,0,0,0,0,0,"agent_Molder"
"940",939,1,0,0,0,0,0,0,0,"Ahres"
"364",363,1,0,0,0,0,0,0,0,"aid"
"181",180,0,0,0,0,0,0,0,0,"AiDz"
"725",724,305,0,0,0,0,4,6,614,"AK-47"
"178",177,0,0,0,0,0,0,0,0,"aK|aa"
"106",105,0,0,0,0,0,0,0,0,"aK|AA"
"6",5,0,0,0,0,0,0,0,0,"aK|KK"
"516",515,2,0,0,0,0,0,0,0,"Ak1M"
"35",34,1,0,0,0,0,0,0,0,"alive"
"7",6,1,0,0,0,0,0,0,0,"alt"
"1012",1011,4,0,0,0,0,0,0,14,"Alyssa"
"1115",1114,1,0,0,0,0,0,0,0,"andres"
"1064",1063,2,0,0,0,0,0,0,0,"Android"
"742",741,907,0,143,164,144,98,92,13110,"APKIS"
"824",823,1,0,0,0,0,0,0,0,"APKIS^^"
"854",853,1,0,0,0,0,0,0,0,"APKIS_SC"
"108",107,0,0,0,0,0,0,0,0,"Arbaal"
"730",729,2,0,0,0,0,0,0,0,"arccik"
"157",156,0,0,0,0,0,0,0,0,"archer"
"145",144,0,0,0,0,0,0,0,0,"archer."
"678",677,2,0,0,0,0,0,0,0,"Arnaud"
"859",858,1,0,0,0,0,0,0,10,"asha3"
"743",742,3,0,0,0,0,0,0,0,"ashanocfg!"
"497",496,1,0,0,0,0,0,0,0,"Astraliz"
"553",552,8,0,0,0,0,0,0,16,"atz"
"442",441,2,0,0,0,0,0,0,0,"Avek"
"829",828,2,0,0,0,0,0,0,0,"Awi"
"340",339,41,0,0,0,0,0,0,0,"az"
"351",350,1,0,0,0,0,0,0,0,"az_noob"
"335",334,5,0,0,0,0,0,0,0,"Azn"
"710",709,3,0,0,0,0,0,0,0,"b0t"
"1078",1077,5,0,0,0,0,0,0,0,"backfire"
"797",796,1,0,0,0,0,0,0,0,"BadAdmins"
"263",262,2,0,0,0,0,0,0,13,"Badhead"
"615",614,3,0,0,0,0,0,0,17,"bakke"
"977",976,10,0,0,1,0,1,0,72,"bakkemon666"
"207",206,798,0,1,0,1,1,2,634,"baknd"
"489",488,11,0,0,0,0,0,0,0,"bakutil"
"807",806,1,0,0,0,0,0,0,0,"BanMeAbuseFISH"
"1005",1004,2,0,0,0,0,0,0,0,"baos"
"983",982,1,0,0,0,0,0,0,0,"Barry"
"1069",1068,150,0,1,0,0,0,2,232,"Barry_Allen"
"720",719,40,0,0,0,0,0,0,24,"Bartek"
"186",185,0,0,0,0,0,0,0,0,"bdj_RocketmaN"
"194",193,0,0,0,0,0,0,0,0,"bdj_zer0"
"102",101,0,0,0,0,0,0,0,0,"bdj_Zer0"
"410",409,1,0,0,0,0,0,0,0,"Be-att"
"131",130,0,0,0,0,0,0,0,0,"be.eni^"
"144",143,0,0,0,0,0,0,0,0,"Beastman"
"1061",1060,1,0,0,0,0,0,0,0,"Beatdumb"
"1077",1076,8,0,0,0,0,0,0,0,"Beatdunce"
"396",395,1,0,0,0,0,0,0,0,"because_he_is_a"
"286",285,707,0,0,3,12,25,26,3018,"Beepbeep"
"903",902,1,0,0,0,0,0,0,0,"bees?"
"483",482,2,0,0,0,0,0,0,0,"beginer"
"888",887,1,0,0,0,0,0,0,0,"bengt-arne"
"970",969,3,0,0,0,0,0,0,1,"benzo"
"77",76,0,0,0,0,0,0,0,0,"beowulf"
"114",113,0,0,0,0,0,0,0,0,"berber"
"339",338,56,0,0,0,0,0,1,63,"Bezel"
"385",384,1,0,0,0,0,0,0,0,"bienemaja"
"172",171,0,0,0,0,0,0,0,0,"BiNg0"
"938",937,1,0,0,0,0,0,0,0,"blaubaer"
"413",412,1,0,0,0,0,0,0,1,"BLegit"
"40",39,1,0,0,0,0,0,0,0,"bleh"
"550",549,253,0,0,0,1,0,1,75,"Bless"
"907",906,1,0,0,0,0,0,0,5,"blob"
"889",888,3,0,0,0,0,0,0,0,"Blondas"
"1052",1051,1,0,0,0,0,0,0,0,"blood"
"1098",1097,1,0,0,0,0,0,0,0,"Bnepgb_He_nepgb"
"1112",1111,1,0,0,0,0,0,0,2,"BoboNator"
"645",644,6,0,0,0,0,0,0,0,"bohen"
"699",698,1,0,0,0,0,0,0,0,"bonsai"
"525",524,1,0,0,0,0,0,0,0,"boringwall"
"376",375,163,0,0,1,0,3,2,360,"Boru"
"640",639,1,0,0,0,0,0,0,0,"BOUHA"
"944",943,1,0,0,0,0,0,0,0,"brainfluid"
"986",985,1,0,0,0,0,0,0,0,"brb"
"855",854,11,0,0,0,0,0,0,1,"btq"
"988",987,3,0,0,0,0,0,0,0,"bubuh"
"894",893,1,0,0,0,0,0,0,1,"bugs"
"825",824,2,0,0,0,0,0,0,0,"bum"
"639",638,2,0,0,0,0,0,0,0,"Burnerfreak"
"1018",1017,2,0,0,0,0,0,0,0,"busi"
"851",850,1,0,0,0,0,0,0,0,"Butelka"
"939",938,466,0,0,1,0,1,1,525,"buzt3r"
"606",605,3,0,0,0,0,0,0,0,"BVB"
"808",807,1,0,0,0,0,0,0,0,"Byebye!!!"
"548",547,8,0,0,0,0,0,0,0,"C"
"1037",1036,4,0,0,0,0,0,0,0,"C-3PO"
"259",258,2,0,0,0,0,0,0,5,"c12"
"1085",1084,232,0,8,4,8,8,16,1468,"Caboom"
"696",695,1,0,0,0,0,0,0,0,"Cactus"
"240",239,1,0,0,0,0,0,0,0,"Cajmere"
"1136",1135,1,0,0,0,0,0,0,0,"canada_sucks"
"852",851,212,0,0,0,0,1,4,323,"car^^"
"142",141,2,0,0,0,0,0,0,0,"Carnage"
"103",102,0,0,0,0,0,0,0,0,"CaShy"
"161",160,0,0,0,0,0,0,0,0,"CaShY"
"295",294,560,0,10,32,35,46,52,4352,"Casper"
"515",514,1456,0,50,143,120,134,120,12966,"Castro"
"748",747,1,0,0,0,0,0,0,0,"Castro_circle"
"800",799,1,0,0,0,0,0,0,0,"CausedidabuseFO"
"911",910,1,0,0,0,0,0,0,0,"cazino*cwil"
"432",431,1,0,0,0,0,0,0,0,"CentriX"
"547",546,1,0,0,0,0,0,0,0,"CEREAL_KILLER"
"738",737,300,0,0,0,0,0,0,35,"Ceth"
"401",400,121,0,0,0,0,0,0,2,"cez"
"786",785,6,0,0,0,0,0,0,0,"chantze"
"721",720,2,0,0,0,0,0,0,0,"chmielu"
"1095",1094,1,0,0,0,0,0,0,0,"chrom"
"1022",1021,1,0,0,0,0,0,0,0,"chuj"
"872",871,1,0,0,0,0,0,0,0,"Cibka"
"63",62,0,0,0,0,0,0,0,0,"Ciqual"
"291",290,875,0,0,0,1,1,1,458,"cka3ka"
"182",181,0,0,0,0,0,0,0,0,"clanX-sugarberr"
"736",735,1,0,0,0,0,0,0,0,"Classic"
"605",604,1009,0,0,14,31,41,58,5233,"Cleaner"
"352",351,1,0,0,0,0,0,0,0,"cletus"
"137",136,0,0,0,0,0,0,0,0,"Clint"
"616",615,7,0,0,0,0,0,0,0,"Clipz"
"233",232,348,0,0,0,1,0,1,447,"CodeBlack"
"3",2,0,0,0,0,0,0,0,0,"confused"
"999",998,2,0,0,0,0,0,0,0,"coolstorybro"
"350",349,777,0,24,51,55,43,59,5864,"cr33pz"
"252",251,170,0,2,2,2,5,10,856,"Cr4zy"
"167",166,0,0,0,0,0,0,0,0,"CrackTurtle"
"419",418,1,0,0,0,0,0,0,0,"Cracky"
"727",726,1,0,0,0,0,0,0,0,"CrazyChiMan"
"575",574,7,0,0,0,0,0,0,0,"creav"
"922",921,514,0,0,0,0,1,0,175,"CreePy^"
"303",302,4,0,0,0,0,0,2,30,"Crom"
"311",310,58,0,0,1,0,0,0,40,"Cryptile"
"402",401,1,0,0,0,0,0,0,0,"Cs3"
"556",555,23,0,0,0,0,0,0,29,"cyber"
"274",273,1,0,0,0,0,0,0,0,"czarne.BMW"
"919",918,1,0,0,0,0,0,0,6,"CzYsc!0Ch"
"415",414,1,0,0,0,0,0,0,0,"d00b"
"926",925,1,0,0,0,0,0,0,4,"d0Pe_d0Pe"
"482",481,1,0,0,0,0,0,0,0,"D4rkf7sh"
"375",374,27,0,0,0,0,3,1,105,"dantek"
"756",755,6,0,0,0,0,0,0,2,"Dariuszz"
"31",30,0,0,0,0,0,0,0,0,"DarkMonkeY"
"790",789,1,0,0,0,0,0,0,0,"Dave"
"523",522,31,0,0,0,0,0,0,49,"David"
"652",651,1,0,0,0,0,0,0,0,"davinci"
"1053",1052,2,0,0,0,0,0,0,0,"Dead_Llama"
"281",280,288,0,0,2,2,0,6,579,"deadfroggy"
"273",272,313,0,0,0,0,2,0,159,"Death_Jump"
"202",201,0,0,0,0,0,0,0,0,"def"
"152",151,0,0,0,0,0,0,0,0,"DeGeN"
"464",463,6,0,0,0,0,0,0,0,"delete_me"
"214",213,2,0,0,0,0,0,1,11,"delete_me3543"
"857",856,4,0,0,0,0,0,0,0,"deleteme_100"
"841",840,4,0,0,0,0,0,0,0,"deleteme_101"
"901",900,3,0,0,0,0,0,0,0,"deleteme_3000"
"5",4,41,0,0,0,0,0,0,0,"deleteme_45654"
"333",332,11,0,0,0,0,0,0,3,"deleteme_45655"
"654",653,3,0,0,0,0,0,0,0,"deleteme_45656"
"905",904,1,0,0,0,0,0,0,0,"deleteme_5725"
"1047",1046,1,0,0,0,0,0,0,0,"deleteme_696969"
"932",931,1,0,0,0,0,0,0,0,"deleteme_asdasd"
"248",247,1,0,0,0,0,0,0,0,"deleteme100"
"622",621,1,0,0,0,0,0,0,0,"deleteme101"
"627",626,1,0,0,0,0,0,0,0,"deleteme102"
"634",633,2,0,0,0,0,0,0,0,"deleteme103"
"686",685,1,0,0,0,0,0,0,0,"deleteme104"
"668",667,1,0,0,0,0,0,0,0,"deleteme105"
"701",700,1,0,0,0,0,0,0,0,"deleteme106"
"284",283,1,0,0,0,0,0,0,0,"deleteme107"
"630",629,1,0,0,0,0,0,0,0,"deleteme108"
"665",664,1,0,0,0,0,0,0,0,"deleteme109"
"305",304,1,0,0,0,0,0,0,0,"deleteme110"
"353",352,1,0,0,0,0,0,0,0,"deleteme111"
"377",376,1,0,0,0,0,0,0,0,"deleteme112"
"406",405,1,0,0,0,0,0,0,0,"deleteme113"
"427",426,1,0,0,0,0,0,0,0,"deleteme114"
"567",566,1,0,0,0,0,0,0,0,"deleteme115"
"537",536,4,0,0,0,0,0,0,0,"deleteme116"
"496",495,1,0,0,0,0,0,0,0,"deleteme117"
"561",560,2,0,0,0,0,0,0,0,"deleteme12"
"659",658,6,0,0,0,0,0,0,0,"deleteme43"
"8",7,1,0,0,0,0,0,0,0,"deleteme434"
"796",795,1,0,0,0,0,0,0,0,"DeleteServer"
"431",430,2,0,0,0,0,0,0,0,"dem1se"
"511",510,151,0,0,0,0,1,1,189,"Den4ik"
"632",631,1,0,0,0,0,0,0,0,"Dennis_Reynolds"
"126",125,0,0,0,0,0,0,0,0,"dera"
"22",21,0,0,0,0,0,0,0,0,"destructoR"
"14",13,0,0,0,0,0,0,0,0,"deuce_deuce"
"451",450,1,0,0,0,0,0,0,0,"DEUTSHLAND"
"100",99,0,0,0,0,0,0,0,0,"DI|Mad"
"52",51,0,0,0,0,0,0,0,0,"DI|MoN-SooN"
"1011",1010,1,0,0,0,0,0,0,0,"di4'zL"
"629",628,50,0,0,0,0,0,1,74,"diaa"
"799",798,1,0,0,0,0,0,0,0,"DidGiverconACE"
"913",912,8,0,0,0,0,0,0,0,"DIILmac"
"38",37,1,0,0,0,0,0,0,0,"diluted"
"1075",1074,1,0,0,0,0,0,0,0,"Dimwit"
"839",838,1,0,0,0,0,0,0,0,"diner"
"441",440,39,0,0,0,0,1,0,28,"DinisKo"
"787",786,4,0,0,0,0,0,0,0,"Disconnect"
"784",783,29,0,0,0,0,0,0,0,"DiVyDaN"
"217",216,3,0,0,0,0,0,0,0,"DJANGO"
"923",922,386,0,1,5,4,7,8,1229,"DM"
"933",932,317,0,0,0,0,0,2,232,"dnb"
"819",818,1,0,0,0,0,0,0,0,"DoCTOeBCku"
"961",960,1,0,0,0,0,0,0,0,"doddy"
"783",782,8,0,0,0,0,0,0,8,"Don"
"729",728,1,0,0,0,0,0,0,4,"dontfakeIT"
"625",624,53,0,0,0,0,0,0,1,"dope"
"609",608,9,0,0,0,0,0,0,0,"dopetommy"
"437",436,1,0,0,0,0,0,0,0,"dr0ckl0ck"
"302",301,22,0,0,0,2,2,4,132,"draxi"
"424",423,31,0,0,0,0,0,0,1,"Drig"
"235",234,234,0,1,16,23,30,28,2151,"DRK"
"1027",1026,1,0,0,0,0,0,0,0,"DRz|sofiene"
"671",670,1,0,0,0,0,0,0,0,"ds,ads"
"344",343,613,0,52,131,89,75,73,8419,"ds.ads"
"526",525,1,0,0,0,0,0,0,0,"Dumbkopf"
"527",526,3,0,0,0,0,0,0,0,"dummkopf"
"760",759,1,0,0,0,0,0,0,0,"dupacz_z_lasu"
"704",703,89,0,0,0,0,0,0,5,"Dusk"
"128",127,0,0,0,0,0,0,0,0,"Dutchman"
"224",223,1,0,0,0,0,0,0,0,"dwww"
"125",124,0,0,0,0,0,0,0,0,"Dyri"
"149",148,0,0,0,0,0,0,0,0,"Dytt_i_blojjan"
"278",277,2,0,0,0,0,0,1,19,"dziadek"
"973",972,21,0,0,0,0,0,0,3,"dzl"
"674",673,1,0,0,0,0,0,0,0,"e"
"690",689,1,0,0,0,0,0,0,0,"e!k00n"
"778",777,2,0,0,0,0,0,0,0,"eax"
"945",944,3,0,0,0,0,0,0,0,"eazy|e"
"838",837,1,0,0,0,0,0,0,0,"ecA"
"493",492,1,0,0,0,0,0,0,0,"Eclips"
"492",491,8,0,0,0,0,0,0,0,"Eclipse"
"156",155,0,0,0,0,0,0,0,0,"EKs_future"
"774",773,152,0,0,1,1,5,2,534,"Empire"
"380",379,3,0,0,0,0,0,0,0,"endofurcareer"
"473",472,10,0,0,0,0,0,0,0,"EniX"
"204",203,782,0,3,8,26,20,37,4044,"EnZ"
"403",402,1,0,0,0,0,0,0,0,"EnZ^AFK"
"1083",1082,3,0,0,0,0,0,0,0,"EQLT"
"143",142,0,0,0,0,0,0,0,0,"error"
"675",674,1,0,0,0,0,0,0,0,"eS!"
"136",135,5,0,0,0,0,0,0,6,"everlast"
"549",548,11,0,0,0,0,0,0,3,"ewc"
"342",341,18,0,0,0,0,0,0,0,"ex"
"1082",1081,1,0,0,0,0,0,0,0,"f"
"1120",1119,1,0,0,0,0,0,0,0,"Face"
"847",846,3,0,0,0,0,0,0,7,"faint"
"636",635,1,0,0,0,0,0,0,0,"faker"
"508",507,12,0,0,0,0,0,0,0,"FALUBAZ!!!"
"72",71,0,0,0,0,0,0,0,0,"Fandango"
"522",521,2,0,0,0,0,0,0,0,"fap"
"93",92,0,0,0,0,0,0,0,0,"FatZo-PoGo"
"518",517,1,0,0,0,0,0,0,0,"FC-KRAPULA"
"175",174,0,0,0,0,0,0,0,0,"Fc_Blood"
"308",307,2,0,0,0,0,0,0,2,"fc0r"
"708",707,1,0,0,0,0,0,0,0,"FED[X]"
"306",305,14,0,0,0,0,0,0,7,"Festival"
"559",558,2,0,0,0,0,0,0,0,"final"
"205",204,1322,0,3,10,22,34,38,4605,"fish"
"499",498,1,0,0,0,0,0,0,0,"fish-newb!"
"465",464,1,0,0,0,0,0,0,0,"fish&chimp'ss"
"394",393,1,0,0,0,0,0,0,0,"fish_is_noob"
"395",394,1,0,0,0,0,0,0,0,"fish_is_noob1"
"801",800,1,0,0,0,0,0,0,0,"FISHabuseADMIn"
"802",801,1,0,0,0,0,0,0,0,"FISHabuseADMIn1"
"803",802,1,0,0,0,0,0,0,0,"FISHabuseADMIn2"
"804",803,1,0,0,0,0,0,0,0,"FISHabuseADMIn3"
"805",804,1,0,0,0,0,0,0,0,"FISHabuseADMIn4"
"806",805,1,0,0,0,0,0,0,0,"FISHabuseADMIn5"
"476",475,1,0,0,0,0,0,0,0,"fishburger"
"500",499,1,0,0,0,0,0,0,0,"fishhdhsadfhsdf"
"501",500,1,0,0,0,0,0,0,0,"fishsc"
"1031",1030,1,0,0,0,0,0,0,0,"Fizzle"
"1032",1031,1,0,0,0,0,0,0,0,"Fizzle[dm]"
"219",218,5,0,0,0,0,0,0,0,"Flavis"
"334",333,3,0,0,0,0,0,0,0,"fognini"
"1056",1055,1,0,0,0,0,0,0,0,"fopp"
"1039",1038,3,0,0,0,0,0,0,2,"ForestFucker"
"682",681,1,0,0,0,0,0,0,0,"Fortune"
"954",953,1,0,0,0,0,0,0,0,"Frant1c"
"949",948,1,0,0,0,0,0,0,0,"Fresh"
"1113",1112,1,0,0,0,0,0,0,0,"Friso!"
"332",331,1,0,0,0,0,0,0,0,"Fuck_R1"
"792",791,2,0,0,0,0,0,0,0,"fuckthisserver"
"166",165,0,0,0,0,0,0,0,0,"FUROR"
"775",774,56,0,0,0,0,0,2,64,"fury"
"591",590,1,0,0,0,0,0,0,0,"G"
"687",686,2,0,0,0,0,0,0,0,"G00|3ER"
"266",265,879,0,4,14,43,51,61,5441,"g0rky"
"1131",1130,1,0,0,0,0,0,0,0,"games.coolnet.p"
"878",877,1,0,0,0,0,0,0,0,"gandon"
"367",366,2,0,0,0,0,0,0,0,"gangsta"
"552",551,2,0,0,0,0,0,0,0,"GAUGE"
"793",792,1,0,0,0,0,0,0,0,"gay_server"
"1025",1024,1,0,0,0,0,0,0,0,"geej"
"382",381,1,0,0,0,0,0,0,0,"gerda"
"89",88,0,0,0,0,0,0,0,0,"gerdt"
"124",123,0,0,0,0,0,0,0,0,"Getafix^"
"920",919,4,0,0,0,0,0,0,15,"ghost"
"1117",1116,2,0,0,0,0,0,0,6,"giela"
"296",295,355,0,0,0,2,7,5,738,"glide^"
"984",983,1,0,0,0,0,0,0,0,"glide^_"
"23",22,2,0,0,0,0,0,0,0,"glockglock"
"1122",1121,1,0,1,0,0,0,0,25,"Gob+apk+prokuro"
"389",388,427,0,311,74,31,7,4,9886,"Goblin"
"270",269,1,0,0,0,0,0,0,0,"gomez"
"642",641,1,0,0,0,0,0,0,0,"Google"
"1033",1032,1,0,0,0,0,0,0,0,"GORE!"
"684",683,24,0,0,0,0,1,0,31,"Gouki"
"478",477,1,0,0,0,0,0,0,0,"gOVER"
"1111",1110,60,0,0,0,0,0,0,16,"greedisgood210"
"596",595,785,0,25,55,69,69,72,7003,"GreenJumper"
"691",690,225,0,0,1,0,1,2,299,"greenz"
"646",645,1,0,0,0,0,0,0,0,"greioreogie"
"934",933,3,0,0,0,0,0,0,9,"grgr"
"264",263,259,0,0,0,0,0,0,29,"grigori"
"154",153,0,0,0,0,0,0,0,0,"grr"
