"","id","comps","comp_score","1st","2nd","3rd","4th","5th","score","name"
"912",911,1,0,0,0,0,0,0,0,"heee"
"387",386,38,0,0,0,0,0,0,0,"HENIEK"
"1007",1006,1,0,0,0,0,0,0,0,"Hi"
"450",449,1,0,0,0,0,0,0,0,"HI!HITLER"
"1010",1009,4,0,0,0,0,0,0,0,"Hide"
"724",723,1,0,0,0,0,0,0,0,"Higgins"
"164",163,0,0,0,0,0,0,0,0,"Highlander"
"468",467,1,0,0,0,0,0,0,0,"HitlerJungen"
"925",924,1,0,0,0,0,0,0,0,"Hohlik"
"386",385,1,0,0,0,0,0,0,0,"Horace"
"703",702,1,0,0,0,0,0,0,0,"hSb|Bart.Sim!"
"121",120,0,0,0,0,0,0,0,0,"hubercik"
"648",647,1,0,0,0,0,0,0,0,"huehuehue"
"1086",1085,1,0,0,0,0,0,0,0,"huj"
"971",970,1,0,0,0,0,0,0,0,"hyppykoulissa"
"323",322,1,0,0,0,0,0,0,0,"I_Love_Lofas"
"47",46,0,0,0,0,0,0,0,0,"I_shot_JFK"
"1089",1088,1,0,0,0,0,1,0,13,"iCyclical"
"345",344,726,0,2,8,11,22,30,3212,"Idaho"
"795",794,1,0,0,0,0,0,0,0,"IdiotsAdmins"
"600",599,2,0,0,0,0,0,0,0,"ifu"
"180",179,0,0,0,0,0,0,0,0,"ikswobeL"
"449",448,1,0,0,0,0,0,0,0,"IloveYOUplay"
"173",172,0,0,0,0,0,0,0,0,"ImmOg3n"
"769",768,1,0,0,0,0,0,0,8,"imretard"
"980",979,967,0,0,5,6,8,17,1996,"ins"
"223",222,11,0,0,0,0,0,0,10,"Insan3"
"469",468,3,0,0,0,0,0,0,6,"Insta"
"359",358,87,0,0,0,2,1,1,176,"Int0xiKated"
"969",968,1,0,0,0,0,0,0,0,"invoker"
"697",696,1,0,0,0,0,0,0,0,"iSeeDeadGrunts"
"814",813,1,0,0,0,0,0,0,0,"ISY_"
"392",391,1,0,0,0,0,0,0,0,"it"
"985",984,1,0,0,0,0,0,0,0,"iyo"
"71",70,0,0,0,0,0,0,0,0,"J@CEK"
"785",784,1,0,0,0,0,0,0,0,"jack"
"438",437,4,0,0,0,0,0,0,0,"JackFrost"
"1087",1086,1,0,0,1,0,0,0,20,"JackO"
"712",711,1,0,0,0,0,0,0,0,"jadnik"
"735",734,7,0,0,0,0,0,0,3,"Jadu"
"585",584,1,0,0,0,0,0,0,0,"JagaTuBYla"
"426",425,15,0,0,0,0,0,0,26,"Jakkari"
"649",648,11,0,0,0,0,0,0,10,"JAKZAH"
"1128",1127,1,0,0,0,0,0,0,0,"James"
"918",917,1,0,0,0,0,0,0,0,"jamesh"
"1045",1044,2,0,0,0,0,0,0,0,"janusz"
"663",662,1,0,0,0,0,0,0,0,"jaREtti_^Rp"
"989",988,1,0,0,0,0,0,0,0,"jawharp"
"16",15,0,0,0,0,0,0,0,0,"jaY"
"587",586,1,0,0,0,0,0,0,0,"JebacWisle"
"458",457,1,0,0,0,0,0,0,0,"jebanamapka"
"68",67,0,0,0,0,0,0,0,0,"jeddite"
"509",508,1,0,0,0,0,0,0,0,"Jeep_Safari"
"148",147,0,0,0,0,0,0,0,0,"jellyfish"
"409",408,11,0,0,0,0,0,0,0,"Jepze"
"1124",1123,1,0,0,0,0,0,0,0,"jHs"
"484",483,22,0,0,0,0,0,0,19,"Jitspoe"
"1062",1061,1,0,0,0,0,0,0,0,"johnnyjim"
"300",299,289,0,0,0,0,1,2,150,"Johnson"
"488",487,1,0,0,0,0,0,0,0,"Jorg"
"662",661,1,0,0,0,0,0,0,0,"Juga"
"521",520,175,0,0,0,1,0,0,122,"Julfisk"
"706",705,2,0,0,0,0,0,0,0,"JumpeR_heat"
"404",403,3,0,1,0,0,2,0,51,"jutsu"
"256",255,3,0,0,0,0,1,0,13,"k0chu"
"619",618,3,0,0,0,0,0,0,0,"K1RU"
"198",197,0,0,0,0,0,0,0,0,"Kajataz"
"310",309,2,0,0,0,0,0,0,0,"kala"
"876",875,1,0,0,0,0,0,0,0,"kalacik"
"1076",1075,3,0,0,0,0,0,0,5,"kalle"
"964",963,21,0,0,0,0,0,0,26,"kallu"
"491",490,21,0,0,0,0,0,0,27,"Kapitan_Lubdzik"
"951",950,1,0,0,0,0,0,0,0,"Karolek-Kre..."
"976",975,1,0,0,0,0,0,0,0,"KAZ"
"768",767,1,0,0,0,0,0,0,0,"Kazama5"
"543",542,1,0,0,0,0,0,0,0,"kclynn"
"987",986,2,0,0,0,0,0,0,0,"KDW!"
"827",826,1,0,0,0,0,0,0,0,"keelz"
"732",731,1,0,0,0,0,0,0,0,"Keizer"
"46",45,20,0,0,0,0,0,0,13,"Kendo"
"576",575,1,0,0,0,0,0,0,0,"KFC"
"17",16,0,0,0,0,0,0,0,0,"Khaine"
"1004",1003,1,0,0,0,0,0,0,0,"kiff"
"216",215,643,0,88,81,88,86,70,8443,"Killa"
"1135",1134,1,0,0,0,0,0,0,0,"killa_sucks"
"416",415,1,0,0,0,0,0,0,0,"killaafk"
"595",594,4,0,0,0,0,0,0,20,"killer"
"356",355,1,0,0,0,0,0,0,0,"KINGOFNOOBS"
"752",751,5,0,0,0,0,0,0,0,"Kingsize"
"667",666,1,0,0,0,0,0,0,0,"kitty"
"122",121,0,0,0,0,0,0,0,0,"KK=FAGOT+HOMO"
"123",122,0,0,0,0,0,0,0,0,"KK=GAY:FAGOT"
"354",353,739,0,0,0,0,1,1,393,"kNoC"
"398",397,1,0,0,0,0,0,0,0,"KOLD"
"844",843,7,0,0,0,0,0,0,19,"Konopa^^"
"816",815,1,0,0,0,0,0,0,0,"kopakabana"
"921",920,4,0,0,0,0,0,0,0,"KOPFSCHMERZEN"
"425",424,1,0,0,0,0,0,0,0,"KOTN"
"439",438,1,0,0,0,0,0,0,0,"kotnking"
"358",357,690,0,0,5,10,20,23,2405,"Kr3w"
"322",321,14,0,0,0,0,0,0,0,"KrAzY_k"
"677",676,1,0,0,0,0,0,0,0,"kRn!"
"475",474,2,0,0,0,0,0,0,0,"KroOp"
"244",243,1189,0,545,287,145,67,37,23721,"KroPP"
"885",884,1,0,0,0,0,0,0,0,"Kseno"
"946",945,5,0,0,0,0,0,0,0,"kubeusz"
"480",479,1,0,0,0,0,0,0,0,"kubus"
"313",312,9,0,0,0,0,0,0,12,"kujA"
"187",186,0,0,0,0,0,0,0,0,"KuRt"
"9",8,1,0,0,0,0,0,0,0,"kurz"
"589",588,1,0,0,0,0,0,0,0,"kutangus"
"250",249,471,0,1,0,0,0,0,56,"kw4snY"
"1070",1069,3,0,0,0,0,0,0,2,"Kwarktaart"
"169",168,0,0,0,0,0,0,0,0,"kypara"
"341",340,13,0,0,0,0,0,0,5,"kyuSs"
"683",682,2,0,0,0,0,0,0,0,"L."
"507",506,1,0,0,0,0,0,0,0,"l33t_n44b"
"436",435,38,0,0,0,0,0,0,19,"l3m0n"
"1008",1007,10,0,0,0,0,0,0,2,"lakz"
"728",727,1,0,0,0,0,0,0,0,"lali"
"979",978,1,0,0,0,0,0,0,0,"lateksi"
"292",291,1,0,0,0,0,0,0,0,"latwa_jak.."
"153",152,0,0,0,0,0,0,0,0,"laZmike"
"815",814,18,0,0,0,0,0,0,0,"ledneT"
"836",835,5,0,0,0,0,0,0,0,"LegForest"
"586",585,1,0,0,0,0,0,0,0,"LegiaToStaraKur"
"1059",1058,1,0,0,0,0,0,0,0,"Lethal"
"573",572,58,0,3,0,2,0,1,199,"leviathan"
"101",100,0,0,0,0,0,0,0,0,"Lg.eNDo"
"717",716,1,0,0,0,0,0,0,0,"Liam"
"1130",1129,6,0,0,0,0,0,0,0,"Lightning"
"13",12,0,0,0,0,0,0,0,0,"LilRedTheJumper"
"309",308,3,0,0,0,0,0,0,12,"lintu"
"1127",1126,24,0,1,0,1,1,0,142,"lith"
"260",259,1220,0,341,340,227,137,68,22376,"Lofas"
"877",876,1,0,0,0,0,0,0,0,"Lofas_sc"
"262",261,1,0,0,0,0,0,0,0,"LofasKing"
"927",926,6,0,0,0,0,0,1,39,"Loomit"
"129",128,0,0,0,0,0,0,0,0,"lopezos"
"817",816,1,0,0,0,0,0,0,7,"loveboat"
"510",509,1,0,0,0,0,0,0,0,"LSD"
"1097",1096,1,0,0,0,0,0,0,0,"ltbay"
"577",576,14,0,0,0,0,0,0,7,"Luckie"
"1072",1071,1,0,0,0,0,0,0,0,"Lucy"
"650",649,1,0,0,0,0,0,0,0,"LUIS_SUAREZ"
"737",736,3,0,0,0,0,0,0,0,"lyx"
"633",632,1,0,0,0,0,0,0,0,"m"
"455",454,2,0,0,0,0,0,0,0,"M.Schmitt"
"506",505,14,0,0,0,0,0,0,0,"M@rsj@nIn"
"870",869,1,0,0,0,0,0,0,0,"m0'"
"346",345,7,0,0,0,0,0,0,0,"m4x"
"1023",1022,1,0,0,0,0,0,0,0,"mad"
"4",3,1,0,0,0,0,0,0,0,"MaD|Requiem"
"65",64,0,0,0,0,0,0,0,0,"MadHatman"
"544",543,1,0,0,0,0,0,0,0,"mafioze"
"1099",1098,8,0,0,0,0,0,0,0,"Maggot"
"1026",1025,1,0,0,0,0,0,0,0,"Magnum71"
"998",997,1,0,0,0,0,0,0,0,"MajkelFPS"
"751",750,4,0,0,0,0,0,0,0,"Makaveli^"
"992",991,159,0,0,0,1,0,2,173,"Mako"
"162",161,0,0,0,0,0,0,0,0,"malice"
"1107",1106,1,0,0,0,0,0,0,0,"malysz"
"87",86,0,0,0,0,0,0,0,0,"mamma"
"822",821,7,0,0,0,0,0,0,0,"Mandella"
"830",829,909,0,1,2,22,18,39,3577,"maq"
"719",718,1,0,0,0,0,0,0,0,"marajshaa999"
"910",909,1,0,0,0,0,0,0,0,"mare"
"565",564,2,0,0,0,0,0,0,0,"marg0"
"1080",1079,1,0,0,0,0,0,0,7,"marre'"
"860",859,7,0,0,0,0,0,0,0,"mary(J)ane"
"238",237,24,0,0,0,0,0,0,21,"massie"
"60",59,195,0,0,0,2,5,5,478,"masta"
"959",958,132,0,0,0,4,4,4,555,"MASZ_ESA?"
"1114",1113,7,0,0,0,0,0,0,0,"Matti"
"299",298,48,0,0,0,0,0,0,3,"Mazas"
"571",570,6,0,0,0,0,0,0,3,"mazz"
"731",730,5,0,0,0,1,0,0,19,"mazze"
"828",827,11,0,0,0,0,1,0,59,"mcclone"
"916",915,1,0,0,0,0,0,0,0,"McStoun"
"85",84,0,0,0,0,0,0,0,0,"MegaBlaff"
"150",149,0,0,0,0,0,0,0,0,"MegaBlytt"
"174",173,0,0,0,0,0,0,0,0,"MEGAFLUFFGRIM"
"42",41,0,0,0,0,0,0,0,0,"mEGRiM"
"81",80,0,0,0,0,0,0,0,0,"MegriM"
"570",569,2,0,0,0,0,0,0,0,"Mel"
"96",95,0,0,0,0,0,0,0,0,"menthal^"
"666",665,6,0,0,0,1,0,0,28,"MeSnIk^"
"471",470,1,0,0,0,0,0,0,0,"Messi"
"41",40,0,0,0,0,0,0,0,0,"method"
"203",202,422,0,0,0,0,0,2,240,"metzger"
"44",43,0,0,0,0,0,0,0,0,"mg^"
"1002",1001,5,0,0,0,0,0,0,0,"MGIac"
"479",478,11,0,0,0,0,0,1,13,"michaq"
"568",567,1,0,0,0,0,0,0,0,"mikdj"
"329",328,1,0,0,0,0,0,0,0,"Milkiboy"
"1068",1067,1,0,0,0,0,0,0,0,"mind"
"24",23,0,0,0,0,0,0,0,0,"MindwarpeR"
"620",619,1,0,0,0,0,0,0,0,"minimal"
"265",264,1,0,0,0,0,0,0,0,"mir^mortal"
"20",19,0,0,0,0,0,0,0,0,"mmmsoup0"
"873",872,1,0,0,0,0,0,0,0,"mo"
"858",857,32,0,0,0,0,0,0,0,"Moharo"
"1073",1072,5,0,0,0,0,0,0,0,"Moi"
"104",103,0,0,0,0,0,0,0,0,"monkie"
"1092",1091,1,0,0,0,0,0,0,0,"Montolilvo"
"1063",1062,1,0,0,0,0,0,0,0,"Montolivo"
"1015",1014,381,0,0,7,10,14,22,1813,"mordo"
"832",831,1,0,0,0,0,0,0,0,"Morph!ne"
"477",476,1,0,0,0,0,0,0,0,"mq"
"1119",1118,2,0,0,0,0,0,0,0,"Mr.stealyogirl"
"772",771,1,0,0,0,0,0,0,0,"MrBohica"
"160",159,0,0,0,0,0,0,0,0,"MrFunky"
"245",244,1,0,0,0,0,0,0,0,"MrScorpion"
"902",901,1,0,0,0,0,0,0,0,"mujahedin"
"647",646,283,0,17,13,18,34,17,2463,"mule_0wnz"
"865",864,1,0,0,0,0,0,0,0,"mustang"
"29",28,0,0,0,0,0,0,0,0,"MyStiQue!"
"370",369,1,0,0,0,0,0,0,0,"n-kr3w"
"864",863,1,0,0,0,0,0,0,0,"n0:)k1e"
"213",212,682,0,346,161,85,32,14,14123,"n00k!e"
"700",699,1,0,0,0,0,0,0,0,"n00k!e.sc"
"495",494,1,0,0,0,0,0,0,0,"n00k!e_2way"
"685",684,2,0,0,0,0,0,0,0,"n00k1e"
"417",416,1,0,0,0,0,0,0,0,"n00k1e.backward"
"726",725,1,0,0,0,0,0,0,0,"n00k2"
"734",733,3,0,0,0,0,0,0,3,"n0z"
"1105",1104,1,0,0,0,0,0,0,0,"Nail"
"366",365,2,0,0,0,0,0,0,0,"name"
"418",417,1,0,0,0,0,0,0,0,"nameless_jERk"
"1134",1133,1,0,0,0,0,0,0,0,"nanalee"
"637",636,4,0,1,0,0,0,0,39,"nasty"
"569",568,1,0,0,0,0,0,0,0,"Nathan"
"875",874,1232,0,0,2,6,16,20,3053,"nbc.shadow_no"
"879",878,3,0,0,0,0,0,0,0,"nbc.shadow_nos"
"369",368,2,0,0,0,0,0,0,0,"need1"
"241",240,1,0,0,0,0,0,0,0,"neowolf"
"393",392,160,0,0,10,12,19,20,1333,"neoxotb"
"1054",1053,2,0,0,0,0,0,0,0,"nep"
"360",359,328,0,1,9,22,27,13,2350,"Nephi"
"882",881,19,0,0,0,0,0,0,3,"nesqu1k"
"30",29,1,0,0,0,0,0,0,0,"Neur0"
"978",977,1,0,0,0,0,0,0,0,"neveride"
"285",284,2,0,0,0,0,0,0,0,"nevermore"
"747",746,1,0,0,0,0,0,0,0,"New_One"
"1003",1002,31,0,0,0,0,0,0,33,"NF"
"779",778,3,0,0,0,0,1,0,18,"nguyen"
"698",697,1,0,0,0,0,0,0,0,"nick"
"538",537,56,0,0,0,0,0,0,0,"nida_int"
"249",248,1,0,0,0,0,0,0,0,"niechcemisie_PL"
"603",602,55,0,0,0,0,0,1,113,"Nightfall"
"1132",1131,8,0,0,0,0,0,0,0,"Ninetales"
"1118",1117,4,0,0,0,0,0,0,0,"Ninzi"
"931",930,1,0,0,0,0,0,0,0,"Ninzi^"
"25",24,0,0,0,0,0,0,0,0,"NJ_SkaterPoe"
"715",714,77,0,0,0,0,0,0,34,"NLO"
"107",106,0,0,0,0,0,0,0,0,"nn.Foen"
"330",329,2,0,0,0,0,0,0,0,"no-brainer"
"1050",1049,1,0,0,0,0,0,0,0,"nobody"
"75",74,0,0,0,0,0,0,0,0,"noname"
"326",325,1,0,0,0,0,0,0,0,"noob"
"798",797,1,0,0,0,0,0,0,0,"NoobsLofasKropp"
"315",314,1,0,0,0,0,0,0,0,"nookpro"
"831",830,2,0,0,0,0,0,0,4,"noooob"
"823",822,10,0,0,0,0,0,0,0,"noProblem"
"1103",1102,1,0,0,0,0,0,0,0,"noriakikasai"
"670",669,2,0,0,0,0,0,0,0,"norman"
"676",675,2,0,0,0,0,0,0,0,"Nostradamus"
"880",879,1,0,0,0,0,0,0,0,"notAce"
"428",427,37,0,3,6,11,5,4,536,"nowicjusz"
"188",187,0,0,0,0,0,0,0,0,"NozE"
"764",763,350,0,0,6,12,14,16,1613,"Nubcake"
"883",882,1,0,0,0,0,0,0,0,"NubHard"
"504",503,1,0,0,0,0,0,0,7,"NumaveZi"
"968",967,2,0,0,0,0,0,0,0,"nupagadi"
"558",557,7,0,0,0,0,0,0,0,"Nye"
"963",962,39,0,0,0,0,0,0,12,"nyzki"
"347",346,27,0,0,0,0,0,0,36,"nz0r"
"745",744,9,0,0,0,0,0,0,13,"o0b"
"753",752,1,0,0,0,0,0,0,0,"observer"
"92",91,0,0,0,0,0,0,0,0,"OinX"
"452",451,1,0,0,0,0,0,0,0,"OLIVER_KAHN"
"371",370,1,0,0,0,0,0,0,0,"ololadin"
"422",421,3,0,0,0,0,1,0,13,"oney"
"290",289,72,0,6,3,4,5,2,516,"OpkeZ"
"1006",1005,1,0,0,0,0,0,0,0,"Oppe"
"378",377,2,0,0,0,0,0,0,0,"ORALE"
"279",278,973,0,0,0,2,3,6,1552,"OrangeTea"
"430",429,13,0,0,0,0,0,0,11,"osvald"
"869",868,1,0,0,0,0,0,0,0,"Oxotnik"
"818",817,5,0,0,0,0,0,0,0,"OZZy"
"644",643,1,0,0,0,0,0,0,0,"p"
"440",439,1,0,0,0,0,0,0,0,"P1mp"
"433",432,2,0,0,0,0,0,0,0,"pA!_Epeli"
"379",378,114,0,0,0,0,0,0,19,"pablo"
"843",842,1,0,0,0,0,0,0,0,"Pacifist_(AVB)"
"503",502,37,0,0,0,0,0,0,21,"pampalini"
"974",973,8,0,0,1,0,0,0,49,"pannu"
"383",382,3,0,0,0,0,0,0,10,"papahops"
"741",740,1,0,0,0,0,0,0,0,"PartyZan"
"533",532,1,0,0,0,0,0,0,0,"pasi"
"1102",1101,4,0,0,0,0,0,0,5,"Passion"
"179",178,0,0,0,0,0,0,0,0,"paxz3h"
"861",860,1,0,0,0,0,0,0,0,"pedal"
"435",434,2,0,0,0,0,0,0,0,"pedro"
"957",956,2,0,0,0,0,0,0,10,"pekka"
"722",721,1,0,0,0,0,0,0,0,"pekkkkkkkkka"
"966",965,16,0,0,0,0,0,0,7,"penaa^rhk"
"862",861,1,0,0,0,0,0,0,0,"perdole"
"709",708,4,0,0,0,0,0,0,0,"pfk"
"560",559,1,0,0,0,0,0,0,0,"phi_hi"
"782",781,1,0,0,0,0,0,0,0,"Phink"
"373",372,43,0,0,0,0,0,0,8,"Phu"
"653",652,1,0,0,0,0,0,0,0,"PI"
"324",323,1,0,0,0,0,0,0,0,"Pickashu"
"228",227,2,0,0,0,0,0,0,0,"Pidar"
"98",97,0,0,0,0,0,0,0,0,"Pikachu"
"168",167,0,0,0,0,0,0,0,0,"pillu"
"99",98,0,0,0,0,0,0,0,0,"Pingu"
"1036",1035,23,0,0,0,0,0,0,5,"PinguMoN^"
"1123",1122,3,0,0,0,0,0,0,0,"pizzan"
"850",849,3,0,0,0,0,0,0,2,"pl"
"280",279,386,0,0,0,0,0,0,41,"Plajjump"
"171",170,0,0,0,0,0,0,0,0,"Platos"
"110",109,28,0,0,0,0,0,0,0,"Player"
"895",894,1,0,0,0,0,0,0,0,"Player2"
"896",895,1,0,0,0,0,0,0,0,"Player23"
"562",561,1,0,0,0,0,0,0,0,"playok"
"900",899,1,0,0,0,0,0,0,4,"Pluto's_Heart"
"1060",1059,30,0,0,0,0,0,0,0,"poff"
"848",847,1,0,0,0,0,0,0,7,"POGONkurwa"
"655",654,1,0,0,0,0,0,0,0,"poland_sucks"
"529",528,2,0,0,0,0,0,0,0,"POlash_Boy"
"531",530,161,0,0,0,0,0,0,14,"Polish_boy"
"755",754,2,0,0,0,0,0,0,0,"Polish_KiNg"
"490",489,6,0,0,0,0,0,0,1,"Pong"
"995",994,12,0,0,0,0,0,0,3,"PopS"
"357",356,1,0,0,0,0,0,0,0,"ppp"
"225",224,4,0,0,0,0,0,0,2,"pr3zes"
"773",772,1407,0,402,267,179,131,93,23116,"prd"
"420",419,2,0,0,0,0,0,0,0,"PreTenD"
"599",598,1,0,0,0,0,0,0,0,"pretindica"
"229",228,1322,0,5,12,15,15,20,2910,"PRO-kypop"
"289",288,1,0,0,0,0,0,0,0,"PRO-PLAY"
"400",399,1,0,0,0,0,0,0,0,"pro_or_what"
"528",527,72,0,0,0,0,0,0,6,"Prop"
"672",671,3,0,0,0,0,0,0,0,"Propaganda"
"486",485,129,0,0,0,0,0,0,17,"przypal"
"397",396,7,0,0,0,0,0,0,13,"Pulldozer"
"1106",1105,1,0,0,0,0,0,0,0,"Pumb4"
"319",318,1,0,0,0,0,0,0,0,"punkz"
"1091",1090,1,0,0,0,0,0,0,0,"pureLOVE"
"95",94,0,0,0,0,0,0,0,0,"pzpr.pitchaq"
"821",820,1,0,0,0,0,0,0,0,"q"
"611",610,1,0,0,0,0,0,0,0,"Q2eV>Novatin8"
"788",787,1,0,0,0,0,0,0,0,"Q2Online"
"928",927,1,0,0,0,0,0,0,0,"Qce"
"1038",1037,82,0,0,0,0,0,0,9,"qt"
"765",764,1,0,0,0,0,0,0,0,"qTr"
"76",75,0,0,0,0,0,0,0,0,"quake4"
"407",406,1336,0,2,9,16,30,39,4928,"quazilin"
"607",606,222,0,0,0,0,1,0,215,"Qub"
"74",73,0,0,0,0,0,0,0,0,"qWeRt"
"810",809,1,0,0,0,0,0,0,0,"qwertz"
"898",897,3,0,0,0,0,0,0,0,"r"
"349",348,5,0,0,0,0,0,0,0,"R:ee"
"941",940,1,0,0,0,0,0,0,0,"R1p"
"247",246,1,0,0,0,0,0,0,0,"r4p3[m3]"
"80",79,0,0,0,0,0,0,0,0,"raija"
"381",380,1,0,0,0,0,0,0,0,"Rails"
"183",182,0,0,0,0,0,0,0,0,"RaiN^"
"904",903,6,0,0,0,0,0,0,17,"Rainmkr"
"67",66,1736,0,0,11,36,39,50,5335,"Rambler"
"399",398,11,0,0,0,0,0,1,25,"Random"
"643",642,528,0,0,2,0,1,2,444,"randy"
"936",935,150,0,0,1,1,1,0,101,"Ratiosu"
"62",61,460,0,0,0,0,0,0,241,"rav"
"21",20,0,0,0,0,0,0,0,0,"Raven[GOD]"
"942",941,4,0,0,0,0,0,0,0,"RaVo"
"868",867,210,0,0,0,1,2,5,430,"Razer"
"924",923,1,0,0,0,0,0,0,0,"Razer-Drunk"
"320",319,59,0,0,0,0,1,0,51,"razi"
"57",56,0,0,0,0,0,0,0,0,"RB"
"177",176,0,0,0,0,0,0,0,0,"rE.Fragmaster"
"530",529,1,0,0,0,0,0,0,0,"REALiSTiC"
"759",758,1,0,0,0,0,0,0,0,"Rebelisz"
"84",83,0,0,0,0,0,0,0,0,"ReD_FiRe_WoLf"
"707",706,1,0,0,0,0,0,0,0,"rehtnas"
"372",371,3,0,0,0,0,0,0,0,"Reverence"
"301",300,19,0,0,0,0,0,0,27,"Rhin"
"56",55,0,0,0,0,0,0,0,0,"RhymShit"
"1088",1087,43,0,0,0,0,0,0,9,"ricebiscuit"
"226",225,188,0,7,10,26,20,21,1819,"rl"
"1035",1034,1,0,0,0,0,0,0,0,"RmN"
"758",757,1,0,0,0,0,0,0,0,"Roach"
"578",577,1,0,0,0,0,0,0,0,"Rockitude"
"694",693,143,0,3,9,18,7,6,1111,"RoN!N"
"1034",1033,21,0,0,0,0,0,1,52,"ronald"
"176",175,0,0,0,0,0,0,0,0,"Rooty"
"610",609,7,0,0,0,0,0,0,0,"RosaLfant"
"780",779,1,0,0,0,0,0,0,0,"ross-food"
"1020",1019,6,0,0,1,0,0,0,44,"royce"
"763",762,3,0,0,0,0,0,0,0,"rpb"
"886",885,1,0,0,0,0,0,0,0,"Rua"
"909",908,91,0,0,0,0,0,0,66,"ruda"
"535",534,6,0,0,0,0,0,0,0,"ruks"
"338",337,18,0,0,0,0,0,0,0,"RUN*FOREST*RUN!"
"1017",1016,1,0,0,0,0,0,0,0,"run,lola,run"
"337",336,1,0,0,0,0,0,0,0,"RUN_FOREST_RUN!"
"485",484,1,0,0,0,0,0,0,0,"runswithwolves"
"572",571,1,0,0,0,0,0,0,0,"rupu-cupu"
"434",433,1,0,0,0,0,0,0,0,"RVL"
"1028",1027,1,0,0,0,0,0,0,0,"s"
"189",188,0,0,0,0,0,0,0,0,"S-I-Plato-C-K"
"467",466,1,0,0,0,0,0,0,0,"S.Hannawald"
"811",810,5,0,0,0,0,0,0,0,"s0ul0"
"97",96,0,0,0,0,0,0,0,0,"Sabbra"
"200",199,0,0,0,0,0,0,0,0,"SadButTrue"
"1084",1083,2,0,0,0,0,0,0,0,"saico"
"253",252,652,0,0,0,3,8,9,1423,"Sanja"
"227",226,695,0,24,77,93,94,57,7677,"santher"
"317",316,1,0,0,0,0,0,0,0,"santhernoob"
"761",760,3,0,0,0,0,0,0,7,"sasfd"
"1040",1039,13,0,1,3,1,3,1,161,"sbammm"
"212",211,183,0,3,2,12,18,8,1142,"SBL"
"846",845,1,0,0,0,0,0,0,0,"sc"
"423",422,39,0,0,0,1,3,1,225,"Sceletoner"
"539",538,1,0,0,0,0,0,0,0,"sceletor-chuj"
"840",839,1,0,0,0,0,0,0,0,"SchooledDaMule"
"453",452,1,0,0,0,0,0,0,0,"SCHUMMAHER"
"243",242,218,0,0,0,6,1,6,637,"Scipio"
"624",623,22,0,0,0,0,1,1,63,"scootaloo"
"601",600,252,0,0,0,0,0,1,204,"Scorpion"
"545",544,2,0,0,0,0,0,0,0,"secretargeneral"
"1096",1095,2,0,0,0,0,0,0,0,"Seedor!"
"505",504,1,0,0,0,0,0,0,0,"sempron"
"222",221,6,0,0,0,0,0,0,0,"SENSEI"
"1042",1041,12,0,0,0,0,0,0,8,"Serperior"
"809",808,4,0,0,0,0,0,0,0,"sex_master"
"1021",1020,187,0,0,1,4,3,5,604,"sh@dow"
"679",678,1,0,0,0,0,0,0,0,"Sh1zN0"
"1126",1125,9,0,0,0,0,0,0,0,"shabba"
"1093",1092,68,0,0,0,0,0,0,7,"shabbatai"
"388",387,6,0,0,0,0,0,0,0,"shadowsiphon"
"230",229,1,0,0,0,0,0,0,0,"Sheep"
"1016",1015,1,0,0,0,0,0,0,0,"ShInObI"
"566",565,1,0,0,0,0,0,0,0,"shit-map"
"794",793,1,0,0,0,0,0,0,0,"shitadmins"
"621",620,538,0,0,0,0,0,0,246,"shpongle"
"1009",1008,6,0,0,0,0,0,0,0,"shqp"
"579",578,1,0,0,0,0,0,0,0,"Siegfried"
"472",471,2,0,0,0,0,0,0,0,"Sieroza"
"842",841,8,0,0,0,0,0,0,13,"Silly"
"651",650,1,0,0,0,0,0,0,0,"Sitro"
"1116",1115,1,0,0,0,0,0,0,0,"SkF*InTelliEye"
"298",297,336,0,0,0,0,0,2,231,"skjol"
"487",486,1,0,0,0,0,0,0,0,"skunkculture"
"557",556,65,0,2,2,2,5,5,375,"Skyline"
"267",266,1,0,0,0,0,1,0,13,"slayer"
"316",315,1,0,0,0,0,0,0,0,"slug_noob"
"220",219,760,0,3,2,15,23,26,2918,"slugsk!e"
"1001",1000,1,0,0,0,0,0,0,0,"slumilioner"
"812",811,4,0,0,0,0,0,1,29,"slv"
"890",889,1,0,0,0,0,0,0,0,"Sm0k1'm0"
"688",687,6,0,0,0,0,0,0,0,"SM2K14"
"94",93,0,0,0,0,0,0,0,0,"SmAuG"
"32",31,0,0,0,0,0,0,0,0,"sml"
"958",957,1,0,0,0,0,0,0,0,"Sn0k3n"
"221",220,230,0,0,2,5,13,16,1324,"snake"
"272",271,1,0,0,0,0,0,0,9,"sname"
"1024",1023,2,0,0,0,0,0,0,0,"Snigur"
"365",364,3,0,0,1,0,0,0,26,"SnL-APKIS"
"718",717,1,0,0,0,0,0,0,0,"snowl"
"218",217,8,0,0,0,0,0,0,0,"sofiene"
"276",275,9,0,0,0,0,0,0,0,"Solardrius"
"45",44,0,0,0,0,0,0,0,0,"SoleilNoir"
"1094",1093,97,0,0,0,0,0,0,23,"Some1"
"863",862,1,0,0,0,0,0,0,0,"sonix"
"837",836,1,0,0,0,0,0,0,0,"Soviet"
"138",137,0,0,0,0,0,0,0,0,"Sp00n}{ell"
"1029",1028,1,0,0,0,0,0,0,0,"Spade"
