"","pos","name","date","time","map"
"81279","7","ace","09/05/16","20.061","madjumping2004_2"
"51666","4","ace","02/08/15","12.636","madjumping4"
"23908","1","ace","03/11/17","9.501","madjumping5"
"32790","2","ace","17/04/15","12.987","madjumping6"
"32791","2","ace","27/04/16","16.126","madjumping8"
"61433","5","ace","24/10/17","46.794","mario2"
"51674","4","ace","20/06/15","15.130","masterjumps1"
"32800","2","ace","18/10/15","22.309","maximumred"
"131141","12","ace","11/04/16","6.419","mazemania"
"61445","5","ace","20/12/16","91.219","merc4"
"171014","16","ace","14/02/14","7.488","mf_jump3b"
"101256","9","ace","11/05/16","6.494","minijump"
"32824","2","ace","07/02/17","67.728","miscjmpz1a"
"42050","3","ace","19/04/15","81.606","miscjmpz2a"
"23955","1","ace","14/03/17","15.002","moomap10"
"71358","6","ace","21/11/15","17.801","moomap11"
"131162","12","ace","04/11/14","5.757","moomap14"
"51703","4","ace","08/02/18","58.294","moomap15"
"71364","6","ace","31/07/15","27.212","moomap2"
"32837","2","ace","14/02/17","13.532","moomap3"
"51707","4","ace","14/04/15","86.973","moomap4"
"121203","11","ace","27/10/14","37.635","moomap5"
"23970","1","ace","01/08/15","49.953","moomap8"
"71370","6","ace","08/04/15","82.504","mountainwalk"
"51713","4","ace","28/10/17","38.189","mpjump2"
"121207","11","ace","22/01/16","15.609","mulejumps2"
"61475","5","ace","27/06/16","23.239","mulejumps3"
"32852","2","ace","31/07/15","5.500","mulemap11"
"42075","3","ace","16/06/16","30.811","mulemap14"
"161065","15","ace","22/06/15","29.375","mulemap15"
"51723","4","ace","15/03/18","27.215","mulemap16"
"91305","8","ace","06/01/15","29.065","mulemap18"
"51726","4","ace","18/10/14","22.361","mulemap19"
"71386","6","ace","25/11/14","15.426","mulemap22"
"121219","11","ace","09/11/14","21.304","mulemap23"
"42085","3","ace","06/01/15","8.994","mulemap24"
"91312","8","ace","16/10/14","19.083","mulemap4"
"32877","2","ace","19/11/17","42.446","mulemap8"
"81344","7","ace","15/09/14","29.693","mulemap9"
"42092","3","ace","14/08/15","9.503","mzc1"
"81346","7","ace","10/11/15","9.238","mzc15"
"42094","3","ace","10/10/15","5.979","mzc2complete"
"81348","7","ace","17/03/15","16.949","mzc5"
"51743","4","ace","20/06/15","9.108","mzc_action1"
"42097","3","ace","13/04/15","10.639","n00bjumps"
"32890","2","ace","18/12/16","6.177","nahjump1"
"61503","5","ace","31/05/16","21.093","ned25-jump"
"71405","6","ace","28/10/14","17.418","neox2"
"131198","12","ace","26/08/17","28.707","neox3"
"42310","3","ace","15/11/15","41.385","neox5"
"111269","10","ace","09/02/17","28.713","neox6"
"81360","7","ace","28/06/15","69.744","neox7"
"91334","8","ace","23/10/15","149.801","neox8"
"61512","5","ace","01/03/15","47.387","neox9"
"51758","4","ace","03/04/16","81.489","neox_2_01"
"51761","4","ace","15/02/18","276.357","neox_2_04b"
"24036","1","ace","20/10/17","287.648","neox_2_10"
"61522","5","ace","01/12/15","6.707","nephi1"
"131209","12","ace","14/06/15","4.442","nephi3"
"71425","6","ace","11/08/15","17.808","nephi4"
"24042","1","ace","10/12/16","4.292","nephi5"
"42335","3","ace","14/02/16","19.687","nephi6"
"51777","4","ace","24/11/15","12.387","neur0jumps3"
"51778","4","ace","12/09/17","57.750","neur0jumps4"
"71433","6","ace","09/11/15","5.241","newbjumpin2"
"101328","9","ace","08/12/14","21.238","newbsjump"
"101330","9","ace","30/10/14","7.442","newdm17"
"81389","7","ace","30/07/15","10.506","ngqjmp3"
"61541","5","ace","19/10/14","17.269","ngqjump1"
"42354","3","ace","23/10/16","11.882","njump1a2"
"42355","3","ace","16/10/17","12.840","njump1l33t"
